Android application is debugging.
04-03 09:22:06.840 D/Mono    (16129): Image addref FormsViewGroup[0x98c84da0] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll[0x9ac2be00]: 2
04-03 09:22:06.840 D/Mono    (16129): Prepared to set up assembly 'FormsViewGroup' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll)
04-03 09:22:06.840 D/Mono    (16129): Assembly FormsViewGroup[0x98c84da0] added to domain RootDomain, ref_count=1
04-03 09:22:06.842 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-FormsViewGroup.dll.so" not found
04-03 09:22:06.842 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/FormsViewGroup.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-FormsViewGroup.dll.so" not found
04-03 09:22:06.844 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll'.
04-03 09:22:06.844 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll.config'.
04-03 09:22:06.844 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/FormsViewGroup/FormsViewGroup.config'.
04-03 09:22:06.845 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll'.
04-03 09:22:06.847 D/Mono    (16129): Image addref ImageCircle.Forms.Plugin.Abstractions[0x98c849e0] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll[0x9ac2c300]: 2Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/FormsViewGroup.dll [External]

04-03 09:22:06.847 D/Mono    (16129): Prepared to set up assembly 'ImageCircle.Forms.Plugin.Abstractions' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll)
04-03 09:22:06.847 D/Mono    (16129): Assembly ImageCircle.Forms.Plugin.Abstractions[0x98c849e0] added to domain RootDomain, ref_count=1
04-03 09:22:06.848 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-ImageCircle.Forms.Plugin.Abstractions.dll.so" not found
04-03 09:22:06.849 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/ImageCircle.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-ImageCircle.Forms.Plugin.Abstractions.dll.so" not found
04-03 09:22:06.851 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll'.
04-03 09:22:06.851 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll.config'.
04-03 09:22:06.852 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/ImageCircle.Forms.Plugin.Abstractions/ImageCircle.Forms.Plugin.Abstractions.config'.
04-03 09:22:06.853 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll'.
Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll [External]04-03 09:22:06.854 D/Mono    (16129): Image addref ImageCircle.Forms.Plugin.Android[0x98c84a40] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll[0x9ac2dc00]: 2
